Index Name,Date,Open,High,Low,Close
NIFTY SME EMERGE,11-Dec-18,-,-,-,1495.13
NIFTY SME EMERGE,10-Dec-18,-,-,-,1489.84
NIFTY SME EMERGE,07-Dec-18,-,-,-,1498.98
NIFTY SME EMERGE,06-Dec-18,-,-,-,1512.03
NIFTY SME EMERGE,05-Dec-18,-,-,-,1512.82
NIFTY SME EMERGE,04-Dec-18,-,-,-,1511.6
NIFTY SME EMERGE,03-Dec-18,-,-,-,1521.43
NIFTY SME EMERGE,30-Nov-18,-,-,-,1523.47
NIFTY SME EMERGE,29-Nov-18,-,-,-,1534.36
NIFTY SME EMERGE,28-Nov-18,-,-,-,1533.39
NIFTY SME EMERGE,27-Nov-18,-,-,-,1539.5
NIFTY SME EMERGE,26-Nov-18,-,-,-,1541.46
NIFTY SME EMERGE,22-Nov-18,-,-,-,1539.89
NIFTY SME EMERGE,21-Nov-18,-,-,-,1536.01
NIFTY SME EMERGE,20-Nov-18,-,-,-,1527.94
NIFTY SME EMERGE,19-Nov-18,-,-,-,1535.47
NIFTY SME EMERGE,16-Nov-18,-,-,-,1545.26
NIFTY SME EMERGE,15-Nov-18,-,-,-,1543.66
NIFTY SME EMERGE,14-Nov-18,-,-,-,1539.73
NIFTY SME EMERGE,13-Nov-18,-,-,-,1534.26
NIFTY SME EMERGE,12-Nov-18,-,-,-,1534.31
NIFTY SME EMERGE,09-Nov-18,-,-,-,1540.13
NIFTY SME EMERGE,07-Nov-18,-,-,-,1533.39
NIFTY SME EMERGE,06-Nov-18,-,-,-,1522.95
NIFTY SME EMERGE,05-Nov-18,-,-,-,1502.43
NIFTY SME EMERGE,02-Nov-18,-,-,-,1485.44
NIFTY SME EMERGE,01-Nov-18,-,-,-,1457.74
NIFTY SME EMERGE,31-Oct-18,-,-,-,1446.55
NIFTY SME EMERGE,30-Oct-18,-,-,-,1440.94
NIFTY SME EMERGE,29-Oct-18,-,-,-,1438.6
NIFTY SME EMERGE,26-Oct-18,-,-,-,1430.15
NIFTY SME EMERGE,25-Oct-18,-,-,-,1440.12
NIFTY SME EMERGE,24-Oct-18,-,-,-,1449.99
NIFTY SME EMERGE,23-Oct-18,-,-,-,1453.79
NIFTY SME EMERGE,22-Oct-18,-,-,-,1459.7
NIFTY SME EMERGE,19-Oct-18,-,-,-,1470.29
NIFTY SME EMERGE,17-Oct-18,-,-,-,1482.56
NIFTY SME EMERGE,16-Oct-18,-,-,-,1493.19
NIFTY SME EMERGE,15-Oct-18,-,-,-,1490.14
NIFTY SME EMERGE,12-Oct-18,-,-,-,1485.22
NIFTY SME EMERGE,11-Oct-18,-,-,-,1459.53
NIFTY SME EMERGE,10-Oct-18,-,-,-,1474.29
NIFTY SME EMERGE,09-Oct-18,-,-,-,1456.34
NIFTY SME EMERGE,08-Oct-18,-,-,-,1468.45
NIFTY SME EMERGE,05-Oct-18,-,-,-,1480.73
NIFTY SME EMERGE,04-Oct-18,-,-,-,1504.96
NIFTY SME EMERGE,03-Oct-18,-,-,-,1524
NIFTY SME EMERGE,01-Oct-18,-,-,-,1525.53
NIFTY SME EMERGE,28-Sep-18,-,-,-,1564.85
NIFTY SME EMERGE,27-Sep-18,-,-,-,1590.65
NIFTY SME EMERGE,26-Sep-18,-,-,-,1593.25
NIFTY SME EMERGE,25-Sep-18,-,-,-,1602.92
NIFTY SME EMERGE,24-Sep-18,-,-,-,1616.62
NIFTY SME EMERGE,21-Sep-18,-,-,-,1494.81
NIFTY SME EMERGE,19-Sep-18,-,-,-,1515.15
NIFTY SME EMERGE,18-Sep-18,-,-,-,1515.24
NIFTY SME EMERGE,17-Sep-18,-,-,-,1514.68
NIFTY SME EMERGE,14-Sep-18,-,-,-,1508.59
NIFTY SME EMERGE,12-Sep-18,-,-,-,1504.13
NIFTY SME EMERGE,11-Sep-18,-,-,-,1506.44
NIFTY SME EMERGE,10-Sep-18,-,-,-,1531.55
NIFTY SME EMERGE,07-Sep-18,-,-,-,1551.4
NIFTY SME EMERGE,06-Sep-18,-,-,-,1556.12
NIFTY SME EMERGE,05-Sep-18,-,-,-,1539.49
NIFTY SME EMERGE,04-Sep-18,-,-,-,1573.54
NIFTY SME EMERGE,03-Sep-18,-,-,-,1624.99
NIFTY SME EMERGE,31-Aug-18,-,-,-,1629.59
NIFTY SME EMERGE,30-Aug-18,-,-,-,1629.27
NIFTY SME EMERGE,29-Aug-18,-,-,-,1644.81
NIFTY SME EMERGE,28-Aug-18,-,-,-,1641.8
NIFTY SME EMERGE,27-Aug-18,-,-,-,1643.17
NIFTY SME EMERGE,24-Aug-18,-,-,-,1652.28
NIFTY SME EMERGE,23-Aug-18,-,-,-,1647.59
NIFTY SME EMERGE,21-Aug-18,-,-,-,1646.51
NIFTY SME EMERGE,20-Aug-18,-,-,-,1652.9
NIFTY SME EMERGE,17-Aug-18,-,-,-,1667.45
NIFTY SME EMERGE,16-Aug-18,-,-,-,1671.23
NIFTY SME EMERGE,14-Aug-18,-,-,-,1631.83
NIFTY SME EMERGE,13-Aug-18,-,-,-,1651.53
NIFTY SME EMERGE,10-Aug-18,-,-,-,1676.44
NIFTY SME EMERGE,09-Aug-18,-,-,-,1697.32
NIFTY SME EMERGE,08-Aug-18,-,-,-,1689.24
NIFTY SME EMERGE,07-Aug-18,-,-,-,1690.02
NIFTY SME EMERGE,06-Aug-18,-,-,-,1706.81
NIFTY SME EMERGE,03-Aug-18,-,-,-,1710.46
NIFTY SME EMERGE,02-Aug-18,-,-,-,1699.65
NIFTY SME EMERGE,01-Aug-18,-,-,-,1682.79
NIFTY SME EMERGE,31-Jul-18,-,-,-,1660.62
NIFTY SME EMERGE,30-Jul-18,-,-,-,1637.25
NIFTY SME EMERGE,27-Jul-18,-,-,-,1618.08
NIFTY SME EMERGE,26-Jul-18,-,-,-,1625.81
NIFTY SME EMERGE,25-Jul-18,-,-,-,1615.93
NIFTY SME EMERGE,24-Jul-18,-,-,-,1602.19
